Statement,Header,Field Name,Field Value;;
Statement,Data,BrokerName,;;
Statement,Data,BrokerAddress,;;
Statement,Data,Title,Activity Statement;;
"Statement,Data,Period,""January 1, 2025 - April 8, 2025""";;
"Statement,Data,WhenGenerated,""2025-04-09, 03:33:23 EDT""";;
Account Information,Header,Field Name,Field Value;;
Account Information,Data,Name,John Doe;;
Account Information,Data,Account,U7212345;;
Account Information,Data,Account Type,Individual;;
Account Information,Data,Customer Type,Individual;;
Account Information,Data,Account Capabilities,Margin;;
Account Information,Data,Base Currency,EUR;;
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change;;
Net Asset Value,Data,Cash ,192.616701477,7129.236430347,-0.000148599,7129.236281748,6936.619580271;;
Net Asset Value,Data,Collateral Value,0,2729.649643228,0,2729.649643228,2729.649643228;;
Net Asset Value,Data,Stock,26525.294259,13458.83472,0,13458.83472,-13066.459539;;
Net Asset Value,Data,Securities Lent,0,0,-2729.649643228,-2729.649643228,-2729.649643228;;
Net Asset Value,Data,Dividend Accruals,0,22.3942224,0,22.3942224,22.3942224;;
Net Asset Value,Data,Total,26717.910960477,23340.115015975,-2729.649791827,20610.465224148,-6107.445736329;;
Net Asset Value,Header,Time Weighted Rate of Return;;
Net Asset Value,Data,2.975563864%;;
Change in NAV,Header,Field Name,Field Value;;
Change in NAV,Data,Starting Value,26717.910960477;;
Change in NAV,Data,Mark-to-Market,1243.71249513;;
Change in NAV,Data,Deposits & Withdrawals,-7395.9;;
Change in NAV,Data,Dividends,114.067728;;
Change in NAV,Data,Withholding Tax,-34.2203184;;
Change in NAV,Data,Change in Dividend Accruals,22.224612;;
Change in NAV,Data,Interest,-0.3476128;;
Change in NAV,Data,Change in Interest Accruals,0.0017424;;
Change in NAV,Data,Other Fees,-26.74;;
Change in NAV,Data,Commissions,-25.33165118;;
Change in NAV,Data,Sales Tax,-5.0806;;
Change in NAV,Data,Other FX Translations,0.167868;;
Change in NAV,Data,Ending Value,20610.465224148;;
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code;;
Mark-to-Market Performance Summary,Data,Warrants,PL4NLM,0,0,--,--,-389,0,-4,0,-393,;;
Mark-to-Market Performance Summary,Data,Total,,,,,,-389,0,-4,0,-393,;;
Mark-to-Market Performance Summary,Data,Stocks,ACTd,40,0,57.0000,--,1332,-576,-6.9,0,749.1,;;
Mark-to-Market Performance Summary,Data,Stocks,FLXI,150,0,41.8400,--,-468.25,5,-6,0,-469.25,;;
Mark-to-Market Performance Summary,Data,Stocks,GSHD,20,20,107.2200,103.9000,-48.49943,0,0,79.8474096,31.3479796,;;
Mark-to-Market Performance Summary,Data,Stocks,HYU,40,40,47.6000,47.6000,0,0,0,0,0,;;
Mark-to-Market Performance Summary,Data,Stocks,SXLU,100,0,46.4675,--,-154.6251712,-11.2410714,-3.66756,0,-169.5338026,;;
Mark-to-Market Performance Summary,Data,Stocks,WPM,175,150,56.2400,70.5600,2550.6369525,8.6870625,-0.98125118,0,2558.34276382,;;
Mark-to-Market Performance Summary,Data,Total,,,,,,3211.2623513,-573.5540089,-17.54881118,79.8474096,2700.00694082,;;
Mark-to-Market Performance Summary,Data,Forex,AUD,0.000017505,0.000017505,0.59769,0.5436,-0.00000095,0,0,0,-0.00000095,;;
Mark-to-Market Performance Summary,Data,Forex,CAD,-0.000025345,-0.000025345,0.67155,0.63973,0.00000081,0,0,0,0.00000081,;;
